passengerCount,WIFIAPTag,slice10min
,E1-1A-1<E1-1-01>,2016-09-14-15-0
,E1-1A-1<E1-1-01>,2016-09-14-15-1
,E1-1A-1<E1-1-01>,2016-09-14-15-2
,E1-1A-1<E1-1-01>,2016-09-14-15-3
,E1-1A-1<E1-1-01>,2016-09-14-15-4
,E1-1A-1<E1-1-01>,2016-09-14-15-5
,E1-1A-1<E1-1-01>,2016-09-14-16-0
,E1-1A-1<E1-1-01>,2016-09-14-16-1
,E1-1A-1<E1-1-01>,2016-09-14-16-2
,E1-1A-1<E1-1-01>,2016-09-14-16-3
,E1-1A-1<E1-1-01>,2016-09-14-16-4
,E1-1A-1<E1-1-01>,2016-09-14-16-5
,E1-1A-1<E1-1-01>,2016-09-14-17-0
,E1-1A-1<E1-1-01>,2016-09-14-17-1
,E1-1A-1<E1-1-01>,2016-09-14-17-2
,E1-1A-1<E1-1-01>,2016-09-14-17-3
,E1-1A-1<E1-1-01>,2016-09-14-17-4
,E1-1A-1<E1-1-01>,2016-09-14-17-5
,E1-1A-2<E1-1-02>,2016-09-14-15-0
,E1-1A-2<E1-1-02>,2016-09-14-15-1
,E1-1A-2<E1-1-02>,2016-09-14-15-2
,E1-1A-2<E1-1-02>,2016-09-14-15-3
,E1-1A-2<E1-1-02>,2016-09-14-15-4
,E1-1A-2<E1-1-02>,2016-09-14-15-5
,E1-1A-2<E1-1-02>,2016-09-14-16-0
,E1-1A-2<E1-1-02>,2016-09-14-16-1
,E1-1A-2<E1-1-02>,2016-09-14-16-2
,E1-1A-2<E1-1-02>,2016-09-14-16-3
,E1-1A-2<E1-1-02>,2016-09-14-16-4
,E1-1A-2<E1-1-02>,2016-09-14-16-5
,E1-1A-2<E1-1-02>,2016-09-14-17-0
,E1-1A-2<E1-1-02>,2016-09-14-17-1
,E1-1A-2<E1-1-02>,2016-09-14-17-2
,E1-1A-2<E1-1-02>,2016-09-14-17-3
,E1-1A-2<E1-1-02>,2016-09-14-17-4
,E1-1A-2<E1-1-02>,2016-09-14-17-5
,E1-1A-3<E1-1-03>,2016-09-14-15-0
,E1-1A-3<E1-1-03>,2016-09-14-15-1
,E1-1A-3<E1-1-03>,2016-09-14-15-2
,E1-1A-3<E1-1-03>,2016-09-14-15-3
,E1-1A-3<E1-1-03>,2016-09-14-15-4
,E1-1A-3<E1-1-03>,2016-09-14-15-5
,E1-1A-3<E1-1-03>,2016-09-14-16-0
,E1-1A-3<E1-1-03>,2016-09-14-16-1
,E1-1A-3<E1-1-03>,2016-09-14-16-2
,E1-1A-3<E1-1-03>,2016-09-14-16-3
,E1-1A-3<E1-1-03>,2016-09-14-16-4
,E1-1A-3<E1-1-03>,2016-09-14-16-5
,E1-1A-3<E1-1-03>,2016-09-14-17-0
,E1-1A-3<E1-1-03>,2016-09-14-17-1
,E1-1A-3<E1-1-03>,2016-09-14-17-2
,E1-1A-3<E1-1-03>,2016-09-14-17-3
,E1-1A-3<E1-1-03>,2016-09-14-17-4
,E1-1A-3<E1-1-03>,2016-09-14-17-5
,E1-1A-4<E1-1-04>,2016-09-14-15-0
,E1-1A-4<E1-1-04>,2016-09-14-15-1
,E1-1A-4<E1-1-04>,2016-09-14-15-2
,E1-1A-4<E1-1-04>,2016-09-14-15-3
,E1-1A-4<E1-1-04>,2016-09-14-15-4
,E1-1A-4<E1-1-04>,2016-09-14-15-5
,E1-1A-4<E1-1-04>,2016-09-14-16-0
,E1-1A-4<E1-1-04>,2016-09-14-16-1
,E1-1A-4<E1-1-04>,2016-09-14-16-2
,E1-1A-4<E1-1-04>,2016-09-14-16-3
,E1-1A-4<E1-1-04>,2016-09-14-16-4
,E1-1A-4<E1-1-04>,2016-09-14-16-5
,E1-1A-4<E1-1-04>,2016-09-14-17-0
,E1-1A-4<E1-1-04>,2016-09-14-17-1
,E1-1A-4<E1-1-04>,2016-09-14-17-2
,E1-1A-4<E1-1-04>,2016-09-14-17-3
,E1-1A-4<E1-1-04>,2016-09-14-17-4
,E1-1A-4<E1-1-04>,2016-09-14-17-5
,E1-1A-5<E1-1-05>,2016-09-14-15-0
,E1-1A-5<E1-1-05>,2016-09-14-15-1
,E1-1A-5<E1-1-05>,2016-09-14-15-2
,E1-1A-5<E1-1-05>,2016-09-14-15-3
,E1-1A-5<E1-1-05>,2016-09-14-15-4
,E1-1A-5<E1-1-05>,2016-09-14-15-5
,E1-1A-5<E1-1-05>,2016-09-14-16-0
,E1-1A-5<E1-1-05>,2016-09-14-16-1
,E1-1A-5<E1-1-05>,2016-09-14-16-2
,E1-1A-5<E1-1-05>,2016-09-14-16-3
,E1-1A-5<E1-1-05>,2016-09-14-16-4
,E1-1A-5<E1-1-05>,2016-09-14-16-5
